DATETIME,temperature,humidity,wind_speed,rain,Hour,MonthNumb,Day of week,TOTALDEMAND,FORECASTDEMAND,PERIODID,24hrpreverror,48hrpreverror,7daypreverror,14daypreverror
07-10-17 23:00,14.18,81.16,0.69,0,23,10,7,6818.470215,6849.49,24,0,0,0,0
08-10-17 0:00,14.42,79.97,0.81,0,0,10,1,6577.709961,6676.29,24,0,0,0,0
08-10-17 1:00,14.42,80,0.95,0,1,10,1,6337.240234,6393.97,24,0,0,0,0
08-10-17 2:00,14.04,82.03,0.94,0,2,10,1,5884.890137,5925.13,24,0,0,0,0
08-10-17 3:00,13.51,84.84,0.85,0,3,10,1,5669.97998,5734.22,24,0,0,0,0
08-10-17 4:00,13.18,86.7,0.76,0,4,10,1,5610.759766,5772.5,24,0,0,0,0
08-10-17 5:00,12.72,88.37,0.83,0,5,10,1,5758.350098,6021.57,24,0,0,0,0
08-10-17 6:00,13.53,84.36,0.87,0,6,10,1,6000.160156,6451.6,24,0,0,0,0
08-10-17 7:00,15.02,77,1.21,0,7,10,1,6418.850098,6622.65,24,0,0,0,0
08-10-17 8:00,17.01,67.19,1.92,0,8,10,1,6765.759766,6827.9,24,0,0,0,0
08-10-17 9:00,19.21,56.79,2.79,0,9,10,1,7025.470215,7115.74,24,0,0,0,0
08-10-17 10:00,21.32,47.9,3.54,0,10,10,1,7073.459961,6974.51,24,0,0,0,0
08-10-17 11:00,22.29,48.07,3.55,0,11,10,1,6954.919922,6824.1,24,0,0,0,0
08-10-17 12:00,23.06,47.11,3.85,0,12,10,1,6963.490234,6665.92,24,0,0,0,0
08-10-17 13:00,23.07,49.3,4.07,0,13,10,1,6939.970215,6582,24,0,0,0,0
08-10-17 14:00,22.33,54.04,4.24,0,14,10,1,6991.069824,6544.38,24,0,0,0,0
08-10-17 15:00,21.13,60.52,4.35,0,15,10,1,7174.97998,6602.49,24,0,0,0,0
08-10-17 16:00,19.82,67.92,4.35,0,16,10,1,7286.700195,6783.73,24,0,0,0,0
08-10-17 17:00,20.44,65.29,4.62,0,17,10,1,7572.649902,7211.65,24,0,0,0,0
08-10-17 18:00,19.39,71.91,4.45,0,18,10,1,7821.189941,7539.51,24,0,0,0,0
08-10-17 19:00,18.53,77.9,3.98,0,19,10,1,7848.540039,7984.05,24,0,0,0,0
08-10-17 20:00,17.97,82.6,3.21,0,20,10,1,7524.52002,7681.72,24,0,0,0,0
08-10-17 21:00,17.61,86.13,2.39,0,21,10,1,7147.350098,7352.04,24,0,0,0,0
08-10-17 22:00,17.34,88.8,1.8,0,22,10,1,6943.209961,7102.41,24,0,0,0,0
08-10-17 23:00,18.15,85.9,3.39,0,23,10,1,6777.109863,6708.3,24,-31.01978516,0,0,0
09-10-17 0:00,17.61,89.16,3.13,0,0,10,2,6533.950195,6527.03,24,-98.58003906,0,0,0
09-10-17 1:00,17.05,91.8,2.73,0,1,10,2,6311.430176,6270.43,24,-56.72976563,0,0,0
09-10-17 2:00,16.58,93.4,2.13,0.34,2,10,2,5880.959961,5843.3,24,-40.23986328,0,0,0
09-10-17 3:00,16.2,94.25,1.53,0.71,3,10,2,5656.029785,5679.53,24,-64.24001953,0,0,0
